,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
0,Davidson Street 750,2020," Chennai, Tamil Nadu",750,Single Owner,5000,535000,2022-09-09,Harley Davidson
1,Avenger 220 DTS-i,2014," Pune, Maharashtra",220,Single Owner,50000,45000,2022-09-09,Bajaj
2,Enfield Classic 350,2015," Gurgaon, Haryana",346,Single Owner,8600,130000,2022-09-09,Royal Enfield
3,RC 200,2019," Mumbai, Maharashtra",200,Single Owner,9500,140000,2022-09-09,KTM
4,FZ-S,2017," New Delhi, Delhi",153,Single Owner,34000,50000,2022-09-09,Yamaha
5,Enfield Thunderbird 350,2014," Pune, Maharashtra",346,Single Owner,35000,120000,2022-09-09,Royal Enfield
6,XPulse 200 BS6,2020," Punalur, Kollam, Kerala",200,Single Owner,12500,110000,2022-09-09,Hero
7,Roadster Dark,2022," Hyderabad, Telangana",334,Single Owner,973,200000,2022-09-09,Yezdi
8,CB Unicorn 160,2016," Hyderabad, Telangana",162,Single Owner,17000,60000,2022-08-09,Honda
9,Enfield Classic 350,2014," Ghaziabad, Uttar Pradesh",346,Single Owner,70000,95000,2022-09-09,Royal Enfield
10,CB300R,2019, Chandigarh,300,Single Owner,10000,220000,2022-08-09,Honda
11,CBR 250R ABS,2013," Greater Noida, Uttar Pradesh",250,Single Owner,21343,80000,2022-08-09,Honda
12,Svartpilen 250 2020,2020," Mumbai, Maharashtra",250,Single Owner,5500,180000,2022-08-09,Husqvarna
13,Enfield Classic 350,2019," Gurgaon, Haryana",346,Single Owner,40000,120000,2022-08-09,Royal Enfield
15,Svartpilen 250 2020,2021," New Delhi, Delhi",250,Single Owner,350,180000,2022-07-09,Husqvarna
16,Enfield Classic 350,2016," Hyderabad, Telangana",346,Single Owner,34000,120000,2022-07-09,Royal Enfield
17,Enfield Thunderbird X 350,2018," Bangalore, Karnataka",346,Single Owner,26000,170000,2022-07-09,Royal Enfield
18,390 Adventure,2020," Kolhapur, Maharashtra",391,Single Owner,12750,340000,2022-07-09,KTM
19,Unicorn 160 BS6,2022," Chennai, Tamil Nadu",162,Single Owner,7500,100000,2022-08-09,Honda
20,G 310 R,2022," Hyderabad, Telangana",313,Single Owner,19000,325000,2022-06-09,BMW
21,Avenger Street 220 BS6,2021, Delhi,220,Single Owner,3200,115000,2022-06-09,Bajaj
22,Davidson Superlow,2012, Chandigarh,883,Single Owner,11000,315000,2022-06-09,Harley Davidson
23,Mojo UT 300,2017," Kaithal, Haryana",300,Single Owner,47000,130000,2022-06-09,Mahindra
24,Pulsar 200 NS,2013," Noida, Uttar Pradesh",199,Single Owner,48783,54000,2022-06-09,Bajaj
25,XBlade BS6,2021," Mumbai, Maharashtra",160,Single Owner,3300,105000,2022-09-09,Honda
26,FZ-S FI V3,2019," Ghaziabad, Uttar Pradesh",149,Single Owner,9300,80000,2022-08-09,Yamaha
27,Enfield Classic 350,2012," Ahmedabad, Gujarat",346,Single Owner,41000,90000,2022-06-09,Royal Enfield
28,Dominar 400 ABS BS6,2019," Pune, Maharashtra",400,Single Owner,24000,160000,2022-06-09,Bajaj
29,Enfield Thunderbird TwinSpark 350,2016," New Delhi, Delhi",346,Single Owner,13800,125000,2022-06-09,Royal Enfield
30,Gixxer SF,2019," Gurgaon, Haryana",155,Single Owner,9100,100000,2022-06-09,Suzuki
31,FZ-S FI V2,2016," Kanchipuram, Tamil Nadu",149,Single Owner,93000,48998,2022-06-09,Yamaha
32,Fazer,2011," Bangalore, Karnataka",153,Single Owner,39000,50000,2022-05-09,Yamaha
33,FZ-S FI V3 BS6,2021," Pune, Maharashtra",149,Single Owner,5700,110000,2022-05-09,Yamaha
34,FZ-X,2022," Guwahati, Assam",150,Single Owner,2315,125000,2022-05-09,Yamaha
35,Dominar 400 ABS BS6,2018," Gurgaon, Haryana",400,Single Owner,8000,120000,2022-06-09,Bajaj
36,YZF R15 V3 BS6,2021, Jharkhand,155,Single Owner,7500,125000,2022-05-09,Yamaha
37,Davidson Street Rod,2019," East Medinipur, West Bengal",749,Single Owner,2900,555000,2022-07-09,Harley Davidson
38,Enfield Continental GT 650 Twin,2022," Bardhaman, West Bengal",535,Single Owner,1800,330000,2022-05-09,Royal Enfield
39,Enfield Thunderbird 500,2015, Chandigarh,499,Single Owner,18000,120000,2022-05-09,Royal Enfield
40,Pulsar NS 160 BS6,2021," Kanpur Nagar, Uttar Pradesh",160,Single Owner,12000,120000,2022-10-09,Bajaj
41,Imperiale 400 BS6,2022," Ernakulam, Kerala",400,Single Owner,8200,230000,2022-10-09,Benelli
42,Apache RTR 160 4V,2018," Jaipur, Rajasthan",160,Single Owner,4500,60000,2022-10-09,TVS
43,Enfield Himalayan,2016," Jaipur, Rajasthan",411,Single Owner,5000,175000,2022-09-09,Royal Enfield
44,Enfield Classic Chrome,2016," Chennai, Tamil Nadu",499,Single Owner,23700,135000,2022-09-09,Royal Enfield
45,Pulsar 150 DTSi,2015," Dibrugarh, Assam",150,Single Owner,43000,50000,2022-09-09,Bajaj
46,CBR 250R,2012," New Delhi, Delhi",249,Single Owner,28000,55000,2022-09-09,Honda
47,GS 150R,2015," Bangalore, Karnataka",150,Two,23000,55000,2022-09-09,Suzuki
48,Enfield Classic 500,2018," Surajpur, Chhattisgarh",499,Single Owner,24000,160000,2022-09-09,Royal Enfield
49,Enfield Himalayan BS VI,2022," New Delhi, Delhi",411,Single Owner,1450,225000,2022-08-09,Royal Enfield
50,Enfield Classic Gunmetal Grey,2018," Chennai, Tamil Nadu",346,Single Owner,21500,160000,2022-08-09,Royal Enfield
51,Enfield Classic 500,2016," Surat, Gujarat",499,Single Owner,26836,150000,2022-08-09,Royal Enfield
52,forty two BS6,2020," Kolkata, West Bengal",293,Single Owner,6695,160000,2022-10-09,Jawa
53,Enfield Classic,2017," Mumbai, Maharashtra",346,Single Owner,17000,130000,2022-10-09,Royal Enfield
54,SZ-RR V2,2018," Cuttack, Orissa",149,Single Owner,15000,48000,2022-10-09,Yamaha
55,Enfield Bullet 350 ES BS6,2021," Ghaziabad, Uttar Pradesh",350,Single Owner,4762,170000,2022-10-09,Royal Enfield
56,Enfield Thunderbird 350,2015," Navi Mumbai, Maharashtra",346,Single Owner,10000,100000,2022-10-09,Royal Enfield
57,Pulsar 180 DTSi,2011," Guwahati, Assam",180,Single Owner,27220,45000,2022-09-09,Bajaj
58,Enfield Bullet 350 Twinspark,2011, Chandigarh,346,Single Owner,24000,80000,2022-09-09,Royal Enfield
59,FZ-S FI V3,2019," Gir Somnath, Gujarat",149,Single Owner,29500,95000,2022-09-09,Yamaha
60,Gixxer SF BS6,2021," Kolhapur, Maharashtra",155,Single Owner,13000,130000,2022-09-09,Suzuki
61,V15,2017," Muzaffarnagar, Uttar Pradesh",150,Single Owner,30000,44999,2022-09-09,Bajaj
63,CB Hornet 160R,2016," Bhubaneshwar, Orissa",162,Single Owner,31000,55000,2022-08-09,Honda
64,Apache RR 310,2021," Chamba, Himachal Pradesh",312,Single Owner,1800,240000,2022-08-09,TVS
65,Duke 390,2015," Pune, Maharashtra",373,Single Owner,35000,110000,2022-08-09,KTM
66,Discover 150 S,2015," Lucknow, Uttar Pradesh",150,Single Owner,54850,45000,2022-08-09,Bajaj
67,Enfield Himalayan,2016," Ranchi, Jharkhand",411,Single Owner,26700,145000,2022-08-09,Royal Enfield
75,Enfield Bullet 350,2016," Alwar, Rajasthan",346,Single Owner,35500,80000,2022-07-09,Royal Enfield
78,CB Hornet 160R,2016," Mumbai, Maharashtra",162,Two,31005,54000,2022-08-09,Honda
81,Avenger Cruise 220 BS6,2021," Jabalpur, Madhya Pradesh",180,Single Owner,4500,110000,2022-06-09,Bajaj
82,Enfield Interceptor 650 120th Year Anniversary Edition,2019," Pune, Maharashtra",650,Single Owner,3500,210000,2022-09-09,Royal Enfield
83,Enfield Himalayan,2017," Bangalore, Karnataka",411,Single Owner,24700,140000,2022-09-09,Royal Enfield
84,Ninja 300 BS6,2019," Hyderabad, Telangana",300,Single Owner,15000,275000,2022-09-09,Kawasaki
85,Pulsar 220F BS6,2020," Aravalli, Gujarat",220,Single Owner,8500,119000,2022-09-09,Bajaj
86,CB Unicorn 160,2020," Bareilly, Uttar Pradesh",162,Single Owner,21000,80000,2022-09-09,Honda
87,Pulsar 150,2021," Medchal, Telangana",150,Single Owner,17755,100000,2022-09-09,Bajaj
88,YZF R15 V3 BS6,2020," Gurgaon, Haryana",150,Single Owner,17000,130000,2022-09-09,Yamaha
89,2021 Dominar 400,2021," Bardhaman, West Bengal",400,Single Owner,3040,240000,2022-09-09,Bajaj
90,Gixxer SF Fi,2018," Anand, Gujarat",155,Single Owner,54000,71999,2022-09-09,Suzuki
91,Pulsar RS 200,2017," Gurgaon, Haryana",200,Single Owner,15000,80000,2022-09-09,Bajaj
92,Duke 200,2021," Dehradun, Utarakhand",200,Single Owner,4000,190000,2022-06-09,KTM
93,Avenger Cruise 220,2017," Bangalore, Karnataka",220,Two,20000,65000,2022-06-09,Bajaj
97,Enfield Thunderbird 350,2013," Chennai, Tamil Nadu",346,Single Owner,31500,85000,2022-06-09,Royal Enfield
98,Xtreme 160R,2020," Lucknow, Uttar Pradesh",149,Single Owner,13000,90000,2022-06-09,Hero
100,Avenger Street 220,2017," Bangalore, Karnataka",220,Single Owner,26000,85500,2022-06-09,Bajaj
102,Duke 200,2014," Bangalore, Karnataka",200,Single Owner,13500,100000,2022-06-09,KTM
103,Duke 390,2017," Kolhapur, Maharashtra",373,Single Owner,13000,225000,2022-06-09,KTM
104,Perak BS6,2021," Mohali, Punjab",334,Single Owner,5660,215000,2022-06-09,Jawa
108,Pulsar 150 DTSi,2008," Pune, Maharashtra",150,Single Owner,52000,40000,2022-06-09,Bajaj
112,Duke 390,2019," New Delhi, Delhi",373,Single Owner,25000,220000,2022-09-09,KTM
113,Enfield Bullet 350 ES,2021," Ghaziabad, Uttar Pradesh",346,Single Owner,500,120000,2022-09-09,Royal Enfield
114,Enfield Thunderbird TwinSpark 350,2015," Meerut, Uttar Pradesh",346,Two,21000,85000,2022-09-09,Royal Enfield
115,Gixxer 150,2015," New Delhi, Delhi",155,Single Owner,55000,40000,2022-09-09,Suzuki
116,Davidson Iron 883,2016," Bangalore, Karnataka",883,Single Owner,17500,600000,2022-09-09,Harley Davidson
117,CB Hornet 160R,2016," New Delhi, Delhi",162,Single Owner,82000,50000,2022-09-09,Honda
118,Pulsar 150 Twin Disc,2018," Samastipur, Bihar",150,Single Owner,34351,60000,2022-09-09,Bajaj
119,Enfield Bullet Standard 350,1989," Varanasi, Uttar Pradesh",346,Single Owner,80000,85000,2022-09-09,Royal Enfield
120,Enfield Classic 350,2018," Jaipur, Rajasthan",346,Single Owner,26000,150000,2022-08-09,Royal Enfield
121,Enfield Bullet Electra,2018," New Delhi, Delhi",346,Single Owner,11500,120000,2022-08-09,Royal Enfield
122,Pulsar,2019," Bangalore, Karnataka",200,Single Owner,19000,120000,2022-06-09,Bajaj
124,Apache RTR 160 4V,2021," Noida, Uttar Pradesh",160,Single Owner,6000,130000,2022-05-09,TVS
125,Unicorn,2017," Unnao, Uttar Pradesh",160,Single Owner,61000,40000,2022-05-09,Honda
126,Jawa,2019," Pune, Maharashtra",350,Single Owner,11000,147000,2022-05-09,Jawa
128,Enfield Classic 500,2015," New Delhi, Delhi",499,Two,33000,125000,2022-05-09,Royal Enfield
129,YZF R15 S,2018," Varanasi, Uttar Pradesh",149,Single Owner,6750,95000,2022-05-09,Yamaha
135,Davidson Street 750,2014," Bangalore, Karnataka",749,Single Owner,9897,387000,2022-05-09,Harley Davidson
138,Karizma R,2007," Hoshangabad, Madhya Pradesh",223,Single Owner,35000,40000,2022-05-09,Hero
139,Enfield Bullet Standard 350,1990," Bangalore, Karnataka",346,Single Owner,37000,125000,2022-05-09,Royal Enfield
140,Duke 200,2017," Pune, Maharashtra",200,Single Owner,28000,120000,2022-05-09,KTM
141,Pulsar 200 NS,2018," Kolkata, West Bengal",199,Single Owner,5136,78000,2022-05-09,Bajaj
142,Apache RTR 200 4V ABS Race Edition 2.0,2018," Coimbatore, Tamil Nadu",200,Single Owner,4200,115000,2022-08-09,TVS
143,Avenger Cruise 220,2020," Hyderabad, Telangana",220,Single Owner,13500,85000,2022-08-09,Bajaj
144,Enfield Classic Gunmetal Grey,2018," Hyderabad, Telangana",346,Single Owner,12000,145000,2022-08-09,Royal Enfield
145,Duke 390,2019," Bangalore, Karnataka",373,Single Owner,22000,275000,2022-08-09,KTM
146,Z250,2018," Dharmapuri, Tamil Nadu",250,Single Owner,45000,190000,2022-08-09,Kawasaki
147,Pulsar 150 Twin Disc BS6,2021," East Singhbhum, Jharkhand",150,Single Owner,13000,78000,2022-08-09,Bajaj
148,FZS 25,2019," Sangareddy, Telangana",250,Single Owner,51000,95000,2022-08-09,Yamaha
150,Enfield Thunderbird 350,2015," Chennai, Tamil Nadu",346,Single Owner,50000,90000,2022-08-09,Royal Enfield
151,Dominar 400 ABS BS6,2018," New Delhi, Delhi",400,Single Owner,5500,130000,2022-08-09,Bajaj
152,Jawa,2020," Kanpur Nagar, Uttar Pradesh",300,Single Owner,2500,150000,2022-05-09,Jawa
153,YZF R15 V3 BS6,2021," Varanasi, Uttar Pradesh",150,Single Owner,5000,150000,2022-05-09,Yamaha
154,Enfield Bullet Standard 350,2016," Hamirpur, Himachal Pradesh",346,Single Owner,23540,100000,2022-05-09,Royal Enfield
155,Ninja 650R,2018," New Delhi, Delhi",649,Single Owner,7700,450000,2022-08-09,Kawasaki
156,Scrambler Dual Tone,2022," Chennai, Tamil Nadu",334,Single Owner,3250,215000,2022-05-09,Yezdi
157,Gixxer SF,2015," Bangalore, Karnataka",155,Single Owner,30000,50000,2022-05-09,Suzuki
158,Avenger Cruise 220,2017," Pune, Maharashtra",220,Single Owner,9000,90000,2022-05-09,Bajaj
159,Avenger Cruise 220,2015," New Delhi, Delhi",220,Single Owner,38000,52000,2022-05-09,Bajaj
160,Enfield Classic 350 BS VI,2020," Ghaziabad, Uttar Pradesh",350,Single Owner,22000,170000,2022-05-09,Royal Enfield
161,Perak,2021," Dehradun, Utarakhand",350,Single Owner,3152,170000,2022-05-09,Jawa
162,Karizma ZMR,2014," New Delhi, Delhi",223,Single Owner,38100,40000,2022-05-09,Hero
163,FZ-S,2014," Mumbai, Maharashtra",153,Two,39400,40000,2022-05-09,Yamaha
164,Enfield Classic 500,2018," Mumbai, Maharashtra",499,Single Owner,16000,160000,2022-08-09,Royal Enfield
165,Enfield Thunderbird TwinSpark 350,2012," Mumbai, Maharashtra",346,Single Owner,25000,90000,2022-07-09,Royal Enfield
166,Enfield Thunderbird 350,2009," Hyderabad, Telangana",346,Single Owner,42000,90000,2022-05-09,Royal Enfield
167,Pulsar 200 NS,2017," Mumbai, Maharashtra",199,Single Owner,64129,80000,2022-05-09,Bajaj
168,Xtreme 160R BS6,2022," Howrah, West Bengal",149,Single Owner,3500,120000,2022-05-09,Hero
169,Pulsar RS 200,2015," Ghaziabad, Uttar Pradesh",200,Single Owner,40700,70000,2022-07-09,Bajaj
170,Dominar 400 ABS BS6,2020," Sonipat, Haryana",400,Single Owner,4000,180000,2022-05-09,Bajaj
171,Davidson Street 750,2012," Chennai, Tamil Nadu",749,Single Owner,17000,300000,2022-05-09,Harley Davidson
172,Duke 250,2019," Thane, Maharashtra",250,Single Owner,12000,180000,2022-08-09,KTM
173,Apache RTR 200 4V ABS Race Edition 2.0,2020," Mainpuri, Uttar Pradesh",197,Single Owner,16591,100000,2022-08-09,TVS
174,Xtreme,2014," Pratapgarh, Rajasthan",149,Single Owner,50000,40000,2022-08-09,Hero
175,Street Twin BS6,2020," Mumbai, Maharashtra",900,Single Owner,3750,735000,2022-08-09,Triumph
176,V15,2016," Ahmedabad, Gujarat",150,Single Owner,20600,40000,2022-08-09,Bajaj
177,Xtreme 200S,2019," Lucknow, Uttar Pradesh",149,Single Owner,3300,110000,2022-08-09,Hero
179,Enfield Classic Gunmetal Grey,2019," Bokaro, Jharkhand",346,Single Owner,13000,160000,2022-08-09,Royal Enfield
180,Pulsar 150 BS6,2020," Nizamabad, Telangana",150,Single Owner,17500,95000,2022-07-09,Bajaj
181,Enfield Bullet Electra Twinspark,2016," New Delhi, Delhi",346,Single Owner,3600,120000,2022-07-09,Royal Enfield
183,YZF R15 V3,2018," Bangalore, Karnataka",155,Single Owner,19337,110000,2022-05-09,Yamaha
185,Enfield Bullet Standard 350,2018," Chennai, Tamil Nadu",346,Single Owner,25000,130000,2022-02-09,Royal Enfield
186,Enfield Himalayan 2021,2021," Thane, Maharashtra",411,Single Owner,2060,260000,2022-02-09,Royal Enfield
187,Enfield Thunderbird X 350,2018," Gandhinagar, Gujarat",346,Single Owner,7500,150000,2022-02-09,Royal Enfield
188,Enfield Interceptor 650 Twin,2020," Bangalore, Karnataka",650,Single Owner,2100,298000,2022-05-09,Royal Enfield
189,Duke 390,2017," Pune, Maharashtra",373,Single Owner,4400,190000,2022-02-09,KTM
190,Enfield Himalayan Sleet,2020," Dhanbad, Jharkhand",411,Single Owner,23000,130000,2022-03-09,Royal Enfield
191,Bonneville T100,2015," New Delhi, Delhi",865,Single Owner,28300,390000,2022-02-09,Triumph
192,Hness CB350 DLX,2021," Nainital, Utarakhand",350,Single Owner,2508,198000,2022-02-09,Honda
193,Enfield Thunderbird 350,2018," Chennai, Tamil Nadu",346,Single Owner,20000,130000,2022-02-09,Royal Enfield
194,Enfield Bullet 350,1999," Chennai, Tamil Nadu",346,Three,60000,130000,2022-02-09,Royal Enfield
195,Vitpilen 250 2020,2020," Gulbarga, Karnataka",250,Single Owner,8200,225000,2022-02-09,Husqvarna
196,Enfield Classic 350,2018," New Delhi, Delhi",346,Single Owner,27000,121000,2022-02-09,Royal Enfield
197,XPulse 200T,2019," Mainpuri, Uttar Pradesh",200,Single Owner,22500,90000,2022-02-09,Hero
198,Enfield Bullet 350,1976," Bhavnagar, Gujarat",346,Three,5000,110000,2022-02-09,Royal Enfield
199,forty two,2019," Mumbai, Maharashtra",293,Single Owner,11000,130000,2022-07-09,Jawa
200,Dominar 400,2017," Pune, Maharashtra",400,Single Owner,33800,120000,2022-01-09,Bajaj
201,SR 160 Std ABS,2020," Pune, Maharashtra",160,Single Owner,5800,90000,2022-02-09,Aprilia
202,Enfield Bullet Electra Twinspark,2015," Pune, Maharashtra",346,Single Owner,31400,110000,2022-07-09,Royal Enfield
204,CB Trigger,2014," Bangalore, Karnataka",150,Single Owner,59917,43500,2022-07-09,Honda
205,Pulsar RS 200,2017," Fatehpur, Uttar Pradesh",200,Single Owner,25000,75000,2022-07-09,Bajaj
206,Dominar 400,2017," Bangalore, Karnataka",400,Single Owner,2182,140000,2022-07-09,Bajaj
207,Pulsar 150 DTSi,2016," New Delhi, Delhi",150,Single Owner,22000,55000,2022-07-09,Bajaj
208,Avenger Street 150,2017," Noida, Uttar Pradesh",150,Single Owner,13926,60000,2022-07-09,Bajaj
209,FZS-FI ABS Vintage,2021," Muzaffarnagar, Uttar Pradesh",150,Single Owner,9000,98000,2022-07-09,Yamaha
210,Pulsar 200 NS,2014," Palghar, Maharashtra",199,Single Owner,29900,43000,2022-07-09,Bajaj
211,Enfield Classic 350,2021," Bangalore, Karnataka",346,Single Owner,9650,170000,2022-07-09,Royal Enfield
212,Avenger 220 DTS-i,2014," Mumbai, Maharashtra",220,Single Owner,15000,50000,2022-01-09,Bajaj
213,CBR 250R,2012," New Delhi, Delhi",249,Single Owner,58000,60000,2022-01-09,Honda
214,Enfield Classic 500,2017," Malappuram, Kerala",499,Single Owner,16700,110000,2022-01-09,Royal Enfield
215,Unicorn,2013," Hyderabad, Telangana",150,Single Owner,38000,40000,2022-01-09,Honda
216,YZF R15 S,2017," Coimbatore, Tamil Nadu",149,Single Owner,26000,110000,2022-01-09,Yamaha
217,Pulsar 150 BS6,2022," New Delhi, Delhi",150,Single Owner,900,100000,2022-01-09,Bajaj
218,Enfield Thunderbird TwinSpark 350,2012," New Delhi, Delhi",346,Single Owner,40000,600000,2022-01-09,Royal Enfield
